filename,label,top,left,width,height
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000001.jpg,front,1406,668,203,134
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000001.jpg,front,1389,812,174,127
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000001.jpg,front,1389,968,210,145
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000001.jpg,front,1375,1063,160,141
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000001.jpg,rear,1309,1231,350,243
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000001.jpg,rear,1476,3020,1003,753
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000002.jpg,rear,1460,3074,931,733
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000002.jpg,front,1415,270,284,142
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000003.jpg,front,1413,273,283,147
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000003.jpg,front,1406,656,211,133
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000003.jpg,front,1391,815,162,140
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000003.jpg,rear,1325,1453,205,195
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000003.jpg,rear,1385,918,402,199
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000003.jpg,rear,1454,3104,827,673
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000004.jpg,front,1414,270,291,150
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000004.jpg,front,1408,654,214,129
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000004.jpg,rear,1440,3186,727,561
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000005.jpg,front,1415,270,291,148
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000005.jpg,rear,1416,3376,717,515
./dlib_front_and_rear_vehicles_v1\la_hill_st/la_hill_st_000005.jpg,rear,1379,1407,238,171
